experiment_id,category,dataset,layout,mode,budget,tree_size,num_prompts,max_new_tokens,top1_threshold,prefetch_depth,auto_bitmap,router_hint,cpu_expert_threshold,repeats,status,tpot_ms,tokens_per_second,speedup_vs_ar,generated_tokens,mean_accept_len,prefetch_hit_rate,repair_misses,cold_experts,quality_metric,quality_score,all_match,first_mismatch,artifact_path,log_path,git_commit,run_date,notes
correctness_b8_n64,correctness,MT-Bench,offload,lossless,8,64,2,32,0,2,true,true,0,1,complete,,,,64,3.6471,,,,,,true,,artifacts/e2e_lossless.json,,46e6f0f,2026-09-02,Two prompts and 64 generated tokens matched AR; weighted speculative accept length is 62/17
ar_mtbench_20x128,baseline,MT-Bench,offload,ar,,,20,128,0,2,true,true,0,1,complete,1545.07,0.6472,1.0,,,0.359,,,,,,,,,,2026-09-02,Reported console result; AR bypasses EAGLE router_hint so hit_rate is temporal-only; exact generated-token count and runner commit were not captured
pilot_budget_b8_n64,pilot_budget,MT-Bench,offload,spec,8,64,2,32,0,2,true,true,0,1,complete,1096.20,0.9122,1.4095,,3.65,1.000,,,,,,,,logs/pilot_budget_b4_b8_n64.log,,2026-09-02,Lossless-budget pilot; console result reported by user
pilot_budget_b4_n64,pilot_budget,MT-Bench,offload,spec,4,64,2,32,0,2,true,true,0,1,complete,1009.53,0.9906,1.5305,,2.87,0.650,,,,,,,,logs/pilot_budget_b4_b8_n64.log,,2026-09-02,Default hint+temporal pilot; 7.9% lower TPOT but 21.4% lower accept length than B=8
pilot_prefetch_temporal_b4,pilot_prefetch,MT-Bench,offload,spec,4,64,2,32,0,2,true,false,0,1,complete,1017.02,0.9833,1.5192,,2.87,0.650,,,,,,,,logs/pilot_prefetch_temporal_b4.log,,2026-09-02,Temporal-only pilot; default router hint is only 0.74% faster at equal aggregate hit rate
pilot_prefetch_full_copy_b4,pilot_prefetch,MT-Bench,offload,spec,4,64,2,32,0,2,false,false,0,1,complete,1437.80,0.6955,1.0746,,2.87,1.000,,,,,,,,logs/pilot_prefetch_full_copy_b4.log,,2026-09-02,Full-copy pilot; high hit rate reflects copying all experts and is 42.4% slower than selective default prefetch
pilot_order2_b4_n64,pilot_budget_repeat,MT-Bench,offload,spec,4,64,2,32,0,2,true,true,0,1,complete,1021.26,0.9792,1.5129,,2.87,0.650,,,,,,,,logs/pilot_budget_order_b4_b8_b5_b6_n64.log,,2026-09-02,Reverse-order repeat; TPOT differs 1.16% from first B=4 pilot
pilot_order2_b8_n64,pilot_budget_repeat,MT-Bench,offload,spec,8,64,2,32,0,2,true,true,0,1,complete,1084.96,0.9217,1.4241,,3.65,1.000,,,,,,,,logs/pilot_budget_order_b4_b8_b5_b6_n64.log,,2026-09-02,Reverse-order repeat; TPOT differs 1.03% from first B=8 pilot
pilot_budget_b5_n64,pilot_budget,MT-Bench,offload,spec,5,64,2,32,0,2,true,true,0,1,complete,1113.74,0.8979,1.3873,,3.05,0.744,,,,,,,,logs/pilot_budget_order_b4_b8_b5_b6_n64.log,,2026-09-02,Pilot point is dominated by B=8 on both TPOT and accept length
pilot_budget_b6_n64,pilot_budget,MT-Bench,offload,spec,6,64,2,32,0,2,true,true,0,1,complete,1141.81,0.8758,1.3532,,3.45,0.825,,,,,,,,logs/pilot_budget_order_b4_b8_b5_b6_n64.log,,2026-09-02,Pilot point is dominated by B=8 on both TPOT and accept length
pilot_budget_b2_n64,pilot_budget,MT-Bench,offload,spec,2,64,2,32,0,2,true,true,0,1,complete,719.76,1.3894,2.1466,,2.44,0.434,,,,,,,,,,2026-09-02,Reported console result; fastest pilot but approximate quality is not yet evaluated
pilot_budget_b3_n64,pilot_budget,MT-Bench,offload,spec,3,64,2,32,0,2,true,true,0,1,complete,979.09,1.0214,1.5781,,2.25,0.552,,,,,,,,,,2026-09-02,Reported console result; dominated by B=2 in this two-prompt pilot and accept length is non-monotonic
budget_b2_n64,main_budget,MT-Bench,offload,spec,2,64,20,128,0,2,true,true,0,1,complete,623.12,1.6048,2.4796,,2.41,0.412,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Single completed run; current code applies B during prompt prefill too; approximate quality requires separate evaluation
budget_b3_n64,main_budget,MT-Bench,offload,spec,3,64,20,128,0,2,true,true,0,1,complete,860.23,1.1625,1.7961,,2.44,0.543,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Single completed run; current code applies B during prompt prefill too; approximate quality requires separate evaluation
budget_b4_n64,main_budget,MT-Bench,offload,spec,4,64,20,128,0,2,true,true,0,1,complete,1054.47,0.9483,1.4653,,2.40,0.643,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Single completed run; current code applies B during prompt prefill too; approximate quality requires separate evaluation
budget_b5_n64,main_budget,MT-Bench,offload,spec,5,64,20,128,0,2,true,true,0,1,complete,1222.31,0.8181,1.2641,,2.40,0.736,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Single completed run; current code applies B during prompt prefill too; approximate quality requires separate evaluation
budget_b6_n64,main_budget,MT-Bench,offload,spec,6,64,20,128,0,2,true,true,0,1,complete,1289.50,0.7755,1.1982,,2.56,0.819,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Single completed run; current code applies B during prompt prefill too; approximate quality requires separate evaluation
budget_b8_n64,main_budget,MT-Bench,offload,spec,8,64,20,128,0,2,true,true,0,1,partial,1390.00,0.7194,1.1116,,,,,,,,,,,logs/main_budget_20x128_n64_run1.log,,2026-09-03,Partial 14/20 prompts; TPOT is the rounded cumulative progress value at 2442 seconds; final accept length and hit rate were not printed
tree_b2_n16,tree_size,MT-Bench,offload,spec,2,16,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
tree_b2_n32,tree_size,MT-Bench,offload,spec,2,32,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
tree_b4_n16,tree_size,MT-Bench,offload,spec,4,16,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
tree_b4_n32,tree_size,MT-Bench,offload,spec,4,32,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
tree_b8_n16,tree_size,MT-Bench,offload,spec,8,16,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
tree_b8_n32,tree_size,MT-Bench,offload,spec,8,32,20,128,0,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
prefetch_temporal_b4,prefetch_ablation,MT-Bench,offload,spec,4,64,20,128,0,2,true,false,0,3,pending,,,,,,,,,,,,,,,,,Compare against budget_b4_n64 as the default arm
prefetch_full_copy_b4,prefetch_ablation,MT-Bench,offload,spec,4,64,20,128,0,2,false,false,0,3,pending,,,,,,,,,,,,,,,,,Compare against budget_b4_n64 as the default arm
top1_t005_b4,top1_ablation,MT-Bench,offload,spec,4,64,20,128,0.05,2,true,true,0,3,pending,,,,,,,,,,,,,,,,,
quality_b2,quality,MT-Bench,offload,spec,2,64,80,128,0,2,true,true,0,1,pending,,,,,,,,,MT-Bench judge,,,,,,,,
quality_b4,quality,MT-Bench,offload,spec,4,64,80,128,0,2,true,true,0,1,pending,,,,,,,,,MT-Bench judge,,,,,,,,
quality_b8,quality,MT-Bench,offload,spec,8,64,80,128,0,2,true,true,0,1,pending,,,,,,,,,MT-Bench judge,,,,,,,,
op1_n32,microbenchmark,synthetic,resident,op1,8,32,,,0,,,,,5,pending,,,,,,,,,,,,,,,,,
op1_n64,microbenchmark,synthetic,resident,op1,8,64,,,0,,,,,5,pending,,,,,,,,,,,,,,,,,
op1_n128,microbenchmark,synthetic,resident,op1,8,128,,,0,,,,,5,pending,,,,,,,,,,,,,,,,,
op2_transfer_overlap,microbenchmark,synthetic,offload,op2,,,,,0,2,,,,5,pending,,,,,,,,,,,,,,,,,Record pinned and pageable H2D bandwidth plus op1 slowdown under active prefetch
